condition,oxygen produced,oxygen produced,oxygen produced,oxygen produced,oxygen produced,oxygen produced,oxygen produced,oxygen produced,oxygen produced,oxygen produced,oxygen produced,oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced,no oxygen produced
replicate,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24
0,55.49366667,54.73266667,57.77666667,50.16666667,54.73266667,53.97166667,56.25466667,57.01566667,57.01566667,52.44966667,53.97166667,53.97166667,1,1,1,1,1,1,1,1,1,1,1,1
0.979166667,57.51433333,63.705,65.25266667,61.3835,64.47883333,60.60966667,66.0265,65.25266667,66.80033333,62.93116667,63.705,61.3835,59.062,62.15733333,69.12183333,38.1685,42.03766667,37.39466667,40.49,38.94233333,38.1685,31.204,37.39466667,28.8825
2.083333333,76.24103333,81.50013333,76.99233333,70.23063333,66.47413333,71.73323333,83.00273333,89.01313333,91.26703333,70.98193333,81.50013333,75.48973333,337.49765,366.79835,382.57565,233.81825,238.32605,239.453,216.914,242.83385,234.9452,193.24805,218.04095,170.70905
3.052083333,145.203,169.202,151.20275,105.60465,110.40445,117.60415,189.60115,174.0018,190.8011,139.20325,165.60215,138.0033,1036.7749,1015.1758,1055.9741,760.7864,782.3855,799.1848,801.5847,767.9861,784.7854,662.3905,806.3845,631.1918
3.96875,335.215,362.665,330.64,193.39,211.69,211.69,401.5525,390.115,392.4025,298.615,319.2025,289.465,1814.158,1776.51,1974.162,1588.27,1781.216,1649.448,1696.508,1875.336,1814.158,1767.098,2261.228,1621.212
5.010416667,835.31,905.9,910.606,524.714,600.01,534.126,1028.256,1065.904,1089.434,863.546,924.724,802.368,,,,,,,,,,,,
5.333333333,1049.983,1168.508,1102.134,722.854,751.3,808.192,1135.321,1301.256,1272.81,1073.688,1106.875,1035.76,,,,,,,,,,,,
6.020833333,1699.5,1742.169,2111.967,1320.22,1348.666,1476.673,1979.219,2007.665,2107.226,1727.946,1818.025,1704.241,,,,,,,,,,,,
